month,date,day,calories burned,steps,distance,floors,minutes sedentary,minutes lightly active,minutes fairly active,minutes very active,activity calories,minutes asleep,minutes awake,number of awakenings,time in bed
16-May,5/1/16,Sun,1292,0,0,0,1440,0,0,0,0,0,0,0,0
16-May,5/2/16,Mon,1292,0,0,0,1440,0,0,0,0,0,0,0,0
16-May,5/3/16,Tue,1292,0,0,0,1440,0,0,0,0,0,0,0,0
16-May,5/4/16,Wed,1292,0,0,0,1440,0,0,0,0,0,0,0,0
16-May,5/5/16,Thu,1292,0,0,0,1440,0,0,0,0,0,0,0,0
16-May,5/6/16,Fri,1292,0,0,0,1440,0,0,0,0,0,0,0,0
16-May,5/7/16,Sat,1736,11615,5,0,1150,265,7,18,707,0,0,0,0
16-May,5/8/16,Sun,2200,16380,7,0,743,135,53,93,1165,406,10,1,416
16-May,5/9/16,Mon,2046,13239,6,0,725,147,19,64,973,460,25,3,485
16-May,5/10/16,Tue,1889,10217,4,0,761,156,27,38,806,434,24,4,458
16-May,5/11/16,Wed,2247,17139,7,0,703,159,39,99,1236,412,28,2,440
16-May,5/12/16,Thu,1962,10712,4,0,673,230,23,31,938,468,12,1,483
16-May,5/13/16,Fri,1992,11269,5,0,800,210,33,42,960,351,4,0,355
16-May,5/14/16,Sat,2444,21173,9,0,644,162,58,135,1485,429,12,1,441
16-May,5/15/16,Sun,1824,8443,3,0,732,180,11,31,749,450,30,2,480
16-May,5/16/16,Mon,2308,18572,8,0,692,178,34,89,1302,442,9,0,453
16-May,5/17/16,Tue,2082,13626,6,0,1195,158,32,55,1022,0,0,0,0
16-May,5/18/16,Wed,1997,12062,5,0,1159,194,13,53,952,0,0,0,0
16-May,5/19/16,Thu,2204,14276,6,0,674,245,13,47,1202,461,21,1,482
16-May,5/20/16,Fri,1784,8587,4,0,771,150,8,29,678,471,10,2,482
16-May,5/21/16,Sat,1977,11775,5,0,635,162,27,58,923,512,46,3,558
16-May,5/22/16,Sun,1886,10468,4,0,708,152,12,43,794,494,30,3,525
16-May,5/23/16,Mon,2051,13888,6,0,694,125,35,77,986,485,24,2,509
16-May,5/24/16,Tue,2194,16770,7,0,1163,185,26,66,1160,0,0,0,0
16-May,5/25/16,Wed,2147,15249,7,0,1194,125,38,83,1081,0,0,0,0
16-May,5/26/16,Thu,2025,12938,5,0,659,179,21,58,975,506,17,2,523
16-May,5/27/16,Fri,1844,9108,4,0,697,187,11,22,764,509,14,2,523
16-May,5/28/16,Sat,1756,7599,3,0,531,160,13,21,650,646,69,4,715
16-May,5/29/16,Sun,2394,17635,7,0,607,218,39,111,1449,449,16,2,465
16-May,5/30/16,Mon,2074,13597,6,0,657,195,22,67,1047,488,10,0,499
16-May,5/31/16,Tue,1512,4331,2,0,1345,33,13,28,305,0,0,0,0
16-Jun,6/1/16,Wed,1903,10740,5,0,686,167,35,26,834,531,16,3,547
16-Jun,6/2/16,Thu,2061,13081,5,0,653,193,37,62,1047,467,28,1,495
16-Jun,6/3/16,Fri,1933,11100,5,0,705,167,42,40,883,455,16,1,472
16-Jun,6/4/16,Sat,2037,13176,6,0,557,140,28,73,974,624,31,1,656
16-Jun,6/5/16,Sun,1342,673,0,0,948,45,0,0,112,423,24,0,447
16-Jun,6/6/16,Mon,2090,10298,4,0,675,144,32,52,1021,499,20,4,537
16-Jun,6/7/16,Tue,1894,10881,4,0,1226,136,38,40,807,0,0,0,0
16-Jun,6/8/16,Wed,2073,12231,6,0,692,216,30,45,1059,446,11,1,457
16-Jun,6/9/16,Thu,1959,11218,5,0,706,227,6,25,912,461,15,1,476
16-Jun,6/10/16,Fri,1773,7502,3,0,695,213,6,4,691,497,25,2,522
16-Jun,6/11/16,Sat,1698,7372,3,0,1252,180,6,2,595,0,0,0,0
16-Jun,6/12/16,Sun,2018,13443,6,0,1200,144,34,62,954,0,0,0,0
16-Jun,6/13/16,Mon,1580,4989,2,0,1174,116,7,0,406,137,6,1,143
16-Jun,6/14/16,Tue,1819,9560,4,0,1222,113,18,45,690,0,0,0,0
16-Jun,6/15/16,Wed,2416,21011,9,0,551,159,43,135,1442,547,40,4,594
16-Jun,6/16/16,Thu,2096,14251,6,0,1117,194,63,43,1088,0,0,0,0
16-Jun,6/17/16,Fri,2195,16741,7,0,619,159,77,69,1194,515,17,1,539
16-Jun,6/18/16,Sat,1690,6569,3,0,670,147,10,10,566,454,36,4,490
16-Jun,6/19/16,Sun,2078,8530,4,0,728,155,8,29,648,493,4,1,497
16-Jun,6/20/16,Mon,2026,12909,5,0,731,178,57,39,998,531,36,3,571
16-Jun,6/21/16,Tue,1809,7791,3,0,1202,224,5,9,746,0,0,0,0
16-Jun,6/22/16,Wed,2177,13916,6,0,701,164,38,87,1162,428,21,2,450
16-Jun,6/23/16,Thu,2057,13812,6,0,1168,193,42,37,1025,0,0,0,0
16-Jun,6/24/16,Fri,2069,13782,6,0,670,181,81,29,1054,434,16,1,450
16-Jun,6/25/16,Sat,1542,4376,2,0,874,71,6,24,361,464,29,3,494
16-Jun,6/26/16,Sun,1766,8578,4,0,1261,98,44,37,654,0,0,0,0
16-Jun,6/27/16,Mon,2067,14033,6,0,1168,163,41,68,1033,0,0,0,0
16-Jun,6/28/16,Tue,1693,6888,3,0,822,136,15,19,577,404,16,1,421
16-Jun,6/29/16,Wed,2111,15310,7,0,679,106,47,86,1053,477,16,1,493
16-Jun,6/30/16,Thu,1984,12382,5,0,701,130,48,60,925,492,26,3,525
16-Jul,7/1/16,Fri,1544,4653,2,0,837,80,10,14,370,488,25,2,531
16-Jul,7/2/16,Sat,2018,12693,5,0,1106,174,27,64,980,0,0,0,0
16-Jul,7/3/16,Sun,1916,10104,4,0,665,238,7,23,876,522,53,1,576
16-Jul,7/4/16,Mon,2252,14506,6,0,554,280,32,57,1312,481,18,1,500
16-Jul,7/5/16,Tue,2014,12775,5,0,650,182,45,48,988,501,31,4,532
16-Jul,7/6/16,Wed,1623,5362,2,0,825,132,21,6,498,429,11,2,456
16-Jul,7/7/16,Thu,2064,13345,5,0,658,199,33,60,1055,465,25,2,490
16-Jul,7/8/16,Fri,1611,5417,2,0,895,131,17,1,474,372,23,1,396
16-Jul,7/9/16,Sat,1909,10312,4,0,1199,169,18,54,844,0,0,0,0
16-Jul,7/10/16,Sun,1765,7828,3,0,797,156,10,30,668,427,19,0,447
16-Jul,7/11/16,Mon,1974,12375,5,0,776,152,55,47,933,395,8,1,403
16-Jul,7/12/16,Tue,1724,6958,3,0,728,169,24,8,636,491,26,1,518
16-Jul,7/13/16,Wed,1977,12815,5,0,710,142,50,37,909,472,29,2,501
16-Jul,7/14/16,Thu,1711,6440,3,0,858,202,0,0,615,372,8,0,380
16-Jul,7/15/16,Fri,1475,10389,4,0,959,24,0,30,257,388,7,1,395
16-Jul,7/16/16,Sat,2138,15033,6,0,694,188,32,77,1131,456,25,2,481
16-Jul,7/17/16,Sun,1667,6084,3,0,727,148,9,17,554,506,14,1,525
16-Jul,7/18/16,Mon,2019,13974,6,0,659,86,72,71,955,548,18,2,566
16-Jul,7/19/16,Tue,1967,12441,5,0,656,143,58,37,910,523,23,2,546
16-Jul,7/20/16,Wed,2155,15888,7,0,1136,189,61,54,1148,0,0,0,0
16-Jul,7/21/16,Thu,2041,13043,5,0,702,184,46,56,1027,439,7,3,452
16-Jul,7/22/16,Fri,1829,9555,4,0,725,127,27,44,732,493,24,1,517
16-Jul,7/23/16,Sat,1894,10670,4,0,722,136,45,46,829,463,27,4,491
16-Jul,7/24/16,Sun,2297,19040,8,0,584,162,61,97,1313,518,18,1,536
16-Jul,7/25/16,Mon,1886,9548,4,0,670,194,48,28,859,472,28,1,500
16-Jul,7/26/16,Tue,2355,20029,8,0,707,130,110,93,1375,384,16,1,400
16-Jul,7/27/16,Wed,1920,11061,5,0,641,185,25,32,865,542,15,1,557
16-Jul,7/28/16,Thu,2079,12862,5,0,695,254,43,35,1103,395,11,1,406
16-Jul,7/29/16,Fri,2148,15473,6,0,704,195,47,53,1137,429,19,1,448
16-Jul,7/30/16,Sat,1796,7739,3,0,770,209,8,20,735,418,14,1,433
16-Jul,7/31/16,Sun,1933,11511,5,0,703,149,31,51,869,438,23,1,461
16-Aug,8/1/16,Mon,1699,6942,3,0,788,155,3,11,579,499,5,0,504
16-Aug,8/2/16,Tue,1728,7788,3,0,826,105,15,38,602,467,13,2,480
16-Aug,8/3/16,Wed,1774,8313,3,0,816,149,16,27,673,419,12,1,432
16-Aug,8/4/16,Thu,1660,6529,3,0,850,125,3,20,524,421,21,2,442
16-Aug,8/5/16,Fri,1860,9889,4,0,821,155,18,44,783,382,20,0,402
16-Aug,8/6/16,Sat,2125,16014,7,0,674,103,63,79,1071,509,12,1,521
16-Aug,8/7/16,Sun,1936,12220,5,0,735,107,58,51,861,440,26,1,466
16-Aug,8/8/16,Mon,1678,6159,3,0,798,164,7,11,568,456,19,2,483
16-Aug,8/9/16,Tue,2017,13327,5,0,764,149,43,56,970,416,12,0,428
16-Aug,8/10/16,Wed,1713,6959,3,0,827,162,10,14,605,422,3,0,425
16-Aug,8/11/16,Thu,1782,8641,4,0,768,137,24,30,685,464,19,1,483
16-Aug,8/12/16,Fri,1922,10587,4,0,791,196,28,34,884,370,21,1,391
16-Aug,8/13/16,Sat,2239,17915,7,0,620,135,98,73,1236,491,18,1,514
16-Aug,8/14/16,Sun,1563,4711,2,0,883,74,18,22,394,427,16,2,443
16-Aug,8/15/16,Mon,1638,6026,2,0,858,115,8,21,500,419,19,3,438
16-Aug,8/16/16,Tue,1654,6451,3,0,889,115,8,20,513,402,6,0,408
16-Aug,8/17/16,Wed,1741,7831,3,0,825,140,10,28,630,407,30,2,437
16-Aug,8/18/16,Thu,1724,7466,3,0,697,110,23,37,599,525,30,3,555
16-Aug,8/19/16,Fri,1271,67,0,0,1018,3,0,0,8,423,14,1,437
16-Aug,8/20/16,Sat,1804,8942,4,0,1243,140,13,37,700,0,0,0,0
16-Aug,8/21/16,Sun,2069,14251,6,0,630,187,41,46,1045,534,9,0,543
16-Aug,8/22/16,Mon,2021,13627,6,0,562,120,83,49,975,606,19,2,626
16-Aug,8/23/16,Tue,2104,15224,6,0,681,124,108,49,1082,469,9,0,478
16-Aug,8/24/16,Wed,2020,13062,5,0,665,144,71,53,989,493,14,2,507
16-Aug,8/25/16,Thu,1853,10016,4,0,677,154,70,6,787,504,10,1,514
