Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-04-01","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-02","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-03","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-04","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-05","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-06","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-07","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-08","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-09","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-10","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-11","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-12","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-13","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-14","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-15","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-16","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-17","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-18","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-19","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-20","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-21","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-22","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-23","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-24","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-25","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-26","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-27","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-28","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-29","1,292","0","0","0","1,440","0","0","0","0"
"2016-04-30","1,292","0","0","0","1,440","0","0","0","0"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-04-01","0","0","0","0"
"2016-04-02","0","0","0","0"
"2016-04-03","0","0","0","0"
"2016-04-04","0","0","0","0"
"2016-04-05","0","0","0","0"
"2016-04-06","0","0","0","0"
"2016-04-07","0","0","0","0"
"2016-04-08","0","0","0","0"
"2016-04-09","0","0","0","0"
"2016-04-10","0","0","0","0"
"2016-04-11","0","0","0","0"
"2016-04-12","0","0","0","0"
"2016-04-13","0","0","0","0"
"2016-04-14","0","0","0","0"
"2016-04-15","0","0","0","0"
"2016-04-16","0","0","0","0"
"2016-04-17","0","0","0","0"
"2016-04-18","0","0","0","0"
"2016-04-19","0","0","0","0"
"2016-04-20","0","0","0","0"
"2016-04-21","0","0","0","0"
"2016-04-22","0","0","0","0"
"2016-04-23","0","0","0","0"
"2016-04-24","0","0","0","0"
"2016-04-25","0","0","0","0"
"2016-04-26","0","0","0","0"
"2016-04-27","0","0","0","0"
"2016-04-28","0","0","0","0"
"2016-04-29","0","0","0","0"
"2016-04-30","0","0","0","0"

