Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-08-01","1,699","6,942","2.85","0","788","155","3","11","579"
"2016-08-02","1,728","7,788","3.26","0","826","105","15","38","602"
"2016-08-03","1,774","8,313","3.41","0","816","149","16","27","673"
"2016-08-04","1,660","6,529","2.68","0","850","125","3","20","524"
"2016-08-05","1,860","9,889","4.05","0","821","155","18","44","783"
"2016-08-06","2,125","16,014","6.6","0","674","103","63","79","1,071"
"2016-08-07","1,936","12,220","5.03","0","735","107","58","51","861"
"2016-08-08","1,678","6,159","2.53","0","798","164","7","11","568"
"2016-08-09","2,017","13,327","5.47","0","764","149","43","56","970"
"2016-08-10","1,713","6,959","2.87","0","827","162","10","14","605"
"2016-08-11","1,782","8,641","3.58","0","768","137","24","30","685"
"2016-08-12","1,922","10,587","4.34","0","791","196","28","34","884"
"2016-08-13","2,239","17,915","7.33","0","620","135","98","73","1,236"
"2016-08-14","1,563","4,711","1.97","0","883","74","18","22","394"
"2016-08-15","1,638","6,026","2.48","0","858","115","8","21","500"
"2016-08-16","1,654","6,451","2.65","0","889","115","8","20","513"
"2016-08-17","1,741","7,831","3.22","0","825","140","10","28","630"
"2016-08-18","1,724","7,466","3.07","0","697","110","23","37","599"
"2016-08-19","1,271","67","0.03","0","1,018","3","0","0","8"
"2016-08-20","1,804","8,942","3.67","0","1,243","140","13","37","700"
"2016-08-21","2,069","14,251","5.85","0","630","187","41","46","1,045"
"2016-08-22","2,021","13,627","5.6","0","562","120","83","49","975"
"2016-08-23","2,104","15,224","6.28","0","681","124","108","49","1,082"
"2016-08-24","2,020","13,062","5.36","0","665","144","71","53","989"
"2016-08-25","1,853","10,016","4.11","0","677","154","70","6","787"
"2016-08-26","2,033","13,799","5.67","0","693","174","17","58","988"
"2016-08-27","1,875","10,697","4.39","0","748","123","26","49","770"
"2016-08-28","2,067","13,673","5.62","0","629","179","30","76","1,053"
"2016-08-29","1,996","12,986","5.35","0","1,196","126","64","54","939"
"2016-08-30","2,149","15,943","6.55","0","719","149","45","84","1,128"
"2016-08-31","1,919","11,397","4.76","0","744","140","51","33","847"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-08-01","499","5","0","504"
"2016-08-02","467","13","2","480"
"2016-08-03","419","12","1","432"
"2016-08-04","421","21","2","442"
"2016-08-05","382","20","0","402"
"2016-08-06","509","12","1","521"
"2016-08-07","440","26","1","466"
"2016-08-08","456","19","2","483"
"2016-08-09","416","12","0","428"
"2016-08-10","422","3","0","425"
"2016-08-11","464","19","1","483"
"2016-08-12","370","21","1","391"
"2016-08-13","491","18","1","514"
"2016-08-14","427","16","2","443"
"2016-08-15","419","19","3","438"
"2016-08-16","402","6","0","408"
"2016-08-17","407","30","2","437"
"2016-08-18","525","30","3","555"
"2016-08-19","423","14","1","437"
"2016-08-20","0","0","0","0"
"2016-08-21","534","9","0","543"
"2016-08-22","606","19","2","626"
"2016-08-23","469","9","0","478"
"2016-08-24","493","14","2","507"
"2016-08-25","504","10","1","514"
"2016-08-26","493","24","2","517"
"2016-08-27","478","16","1","494"
"2016-08-28","502","23","1","526"
"2016-08-29","0","0","0","0"
"2016-08-30","429","14","1","443"
"2016-08-31","451","21","3","472"

