Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-12-01","1,758","8,050","3.34","0","766","132","8","38","648"
"2016-12-02","1,608","5,632","2.33","0","795","89","10","24","451"
"2016-12-03","1,782","7,350","3.02","0","796","201","18","18","726"
"2016-12-04","1,493","2,705","1.11","0","804","122","0","0","336"
"2016-12-05","1,706","7,079","2.91","0","710","136","5","25","587"
"2016-12-06","1,657","6,506","2.67","0","686","103","39","13","529"
"2016-12-07","1,610","4,922","2.02","0","846","127","6","23","483"
"2016-12-08","1,661","6,535","2.68","0","892","113","5","23","516"
"2016-12-09","2,021","13,170","5.45","0","629","149","21","72","970"
"2016-12-10","1,990","12,867","5.28","0","687","153","23","56","928"
"2016-12-11","1,555","4,510","1.85","0","822","83","10","23","390"
"2016-12-12","1,953","12,243","5.03","0","706","132","51","45","889"
"2016-12-13","1,919","11,918","4.9","0","736","108","32","62","832"
"2016-12-14","1,635","5,606","2.3","0","741","129","5","20","506"
"2016-12-15","1,797","8,295","3.68","0","807","151","7","28","690"
"2016-12-16","1,811","8,739","3.6","0","1,233","152","14","41","729"
"2016-12-17","1,873","8,884","3.66","0","691","242","5","23","846"
"2016-12-18","1,858","9,164","3.76","0","820","167","38","2","656"
"2016-12-19","1,858","9,164","3.76","0","640","205","32","19","819"
"2016-12-20","1,802","8,715","3.58","0","1,268","100","38","34","626"
"2016-12-21","1,816","8,639","3.54","0","675","170","54","1","726"
"2016-12-22","1,814","7,995","3.28","0","723","233","12","8","772"
"2016-12-23","1,769","7,546","3.09","0","725","188","34","13","711"
"2016-12-24","1,591","3,671","1.5","0","1,251","189","0","0","493"
"2016-12-25","1,586","6,437","2.64","0","889","150","9","3","464"
"2016-12-26","1,831","10,671","4.38","0","1,271","92","31","46","716"
"2016-12-27","1,842","9,160","3.76","0","665","237","15","0","800"
"2016-12-28","1,707","7,352","3.02","0","722","117","39","18","595"
"2016-12-29","1,497","3,207","1.33","0","762","106","8","2","335"
"2016-12-30","1,658","6,345","2.64","0","1,278","130","32","0","536"
"2016-12-31","1,783","8,484","3.48","0","718","174","10","19","693"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-12-01","486","10","0","496"
"2016-12-02","516","6","1","522"
"2016-12-03","389","18","1","407"
"2016-12-04","507","7","0","514"
"2016-12-05","494","46","4","563"
"2016-12-06","582","17","1","600"
"2016-12-07","422","16","0","438"
"2016-12-08","377","30","3","407"
"2016-12-09","540","29","3","569"
"2016-12-10","504","17","1","521"
"2016-12-11","477","25","2","502"
"2016-12-12","492","9","1","506"
"2016-12-13","479","23","2","502"
"2016-12-14","530","15","1","545"
"2016-12-15","432","15","0","447"
"2016-12-16","0","0","0","0"
"2016-12-17","454","25","1","479"
"2016-12-18","323","16","1","339"
"2016-12-19","608","7","0","618"
"2016-12-20","0","0","0","0"
"2016-12-21","525","15","0","540"
"2016-12-22","448","16","2","464"
"2016-12-23","450","30","2","480"
"2016-12-24","0","0","0","0"
"2016-12-25","374","15","2","389"
"2016-12-26","0","0","0","0"
"2016-12-27","472","7","1","481"
"2016-12-28","547","39","2","586"
"2016-12-29","531","31","1","562"
"2016-12-30","0","0","0","0"
"2016-12-31","498","21","2","519"

