Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-02-01","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-02","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-03","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-04","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-05","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-06","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-07","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-08","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-09","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-10","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-11","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-12","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-13","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-14","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-15","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-16","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-17","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-18","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-19","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-20","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-21","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-22","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-23","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-24","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-25","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-26","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-27","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-28","1,292","0","0","0","1,440","0","0","0","0"
"2016-02-29","1,292","0","0","0","1,440","0","0","0","0"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-02-01","0","0","0","0"
"2016-02-02","0","0","0","0"
"2016-02-03","0","0","0","0"
"2016-02-04","0","0","0","0"
"2016-02-05","0","0","0","0"
"2016-02-06","0","0","0","0"
"2016-02-07","0","0","0","0"
"2016-02-08","0","0","0","0"
"2016-02-09","0","0","0","0"
"2016-02-10","0","0","0","0"
"2016-02-11","0","0","0","0"
"2016-02-12","0","0","0","0"
"2016-02-13","0","0","0","0"
"2016-02-14","0","0","0","0"
"2016-02-15","0","0","0","0"
"2016-02-16","0","0","0","0"
"2016-02-17","0","0","0","0"
"2016-02-18","0","0","0","0"
"2016-02-19","0","0","0","0"
"2016-02-20","0","0","0","0"
"2016-02-21","0","0","0","0"
"2016-02-22","0","0","0","0"
"2016-02-23","0","0","0","0"
"2016-02-24","0","0","0","0"
"2016-02-25","0","0","0","0"
"2016-02-26","0","0","0","0"
"2016-02-27","0","0","0","0"
"2016-02-28","0","0","0","0"
"2016-02-29","0","0","0","0"

