Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-01-01","1,800","9,218","3.79","0","1,185","149","5","30","695"
"2017-01-02","1,785","9,243","3.8","0","661","85","51","41","677"
"2017-01-03","1,831","9,567","3.93","0","729","136","15","43","733"
"2017-01-04","2,173","16,140","6.63","0","649","165","67","69","1,173"
"2017-01-05","1,365","1,044","0.43","0","884","59","0","0","150"
"2017-01-06","1,664","6,359","2.61","0","1,277","136","13","14","542"
"2017-01-07","1,655","5,029","2.06","0","742","200","7","1","574"
"2017-01-08","1,792","7,576","3.12","0","751","225","1","12","737"
"2017-01-09","1,807","9,002","3.7","0","725","148","51","14","728"
"2017-01-10","1,862","9,921","4.07","0","722","162","16","40","789"
"2017-01-11","1,797","9,303","3.84","0","728","111","42","32","696"
"2017-01-12","2,020","12,776","5.25","0","1,179","189","12","60","983"
"2017-01-13","1,810","8,159","3.35","0","1,136","220","6","15","756"
"2017-01-14","1,939","10,783","4.47","0","758","214","12","37","906"
"2017-01-15","1,800","8,262","3.39","0","898","206","10","17","741"
"2017-01-16","1,697","6,604","2.87","0","836","132","1","26","570"
"2017-01-17","1,746","7,689","3.25","0","809","168","3","11","641"
"2017-01-18","1,868","10,466","4.36","0","752","157","38","21","794"
"2017-01-19","1,897","10,854","4.46","0","796","150","18","50","825"
"2017-01-20","1,852","8,839","3.63","0","709","227","20","18","819"
"2017-01-21","1,761","7,121","2.94","0","790","206","7","16","694"
"2017-01-22","1,264","0","0","0","1,440","0","0","0","0"
"2017-01-23","1,523","4,437","1.82","0","1,350","66","5","19","334"
"2017-01-24","1,683","7,542","3.1","0","1,291","63","34","37","536"
"2017-01-25","1,973","12,765","5.32","0","768","122","48","50","902"
"2017-01-26","1,578","4,864","2","0","1,313","97","5","22","421"
"2017-01-27","1,823","9,320","3.84","0","793","145","4","41","725"
"2017-01-28","1,895","10,805","4.44","0","732","127","38","55","824"
"2017-01-29","1,820","9,007","3.7","0","716","182","3","28","743"
"2017-01-30","1,949","12,259","5.17","0","799","104","54","53","870"
"2017-01-31","1,923","10,941","4.51","0","1,209","163","13","55","860"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2017-01-01","0","0","0","0"
"2017-01-02","643","14","2","657"
"2017-01-03","507","16","3","523"
"2017-01-04","483","17","1","500"
"2017-01-05","480","17","1","497"
"2017-01-06","0","0","0","0"
"2017-01-07","478","12","0","490"
"2017-01-08","433","18","1","451"
"2017-01-09","456","14","1","470"
"2017-01-10","524","8","0","532"
"2017-01-11","504","20","1","527"
"2017-01-12","0","0","0","0"
"2017-01-13","0","0","0","0"
"2017-01-14","473","9","0","482"
"2017-01-15","304","5","0","309"
"2017-01-16","435","10","1","445"
"2017-01-17","433","6","0","439"
"2017-01-18","473","9","1","482"
"2017-01-19","411","15","1","426"
"2017-01-20","456","10","1","466"
"2017-01-21","409","12","2","421"
"2017-01-22","0","0","0","0"
"2017-01-23","0","0","0","0"
"2017-01-24","0","0","0","0"
"2017-01-25","464","3","0","467"
"2017-01-26","0","0","0","0"
"2017-01-27","448","12","1","460"
"2017-01-28","483","5","0","488"
"2017-01-29","497","14","1","511"
"2017-01-30","421","9","1","430"
"2017-01-31","0","0","0","0"

