Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-07-01","1,544","4,653","1.91","0","837","80","10","14","370"
"2016-07-02","2,018","12,693","5.21","0","1,106","174","27","64","980"
"2016-07-03","1,916","10,104","4.16","0","665","238","7","23","876"
"2016-07-04","2,252","14,506","5.96","0","554","280","32","57","1,312"
"2016-07-05","2,014","12,775","5.25","0","650","182","45","48","988"
"2016-07-06","1,623","5,362","2.2","0","825","132","21","6","498"
"2016-07-07","2,064","13,345","5.48","0","658","199","33","60","1,055"
"2016-07-08","1,611","5,417","2.22","0","895","131","17","1","474"
"2016-07-09","1,909","10,312","4.24","0","1,199","169","18","54","844"
"2016-07-10","1,765","7,828","3.22","0","797","156","10","30","668"
"2016-07-11","1,974","12,375","5.08","0","776","152","55","47","933"
"2016-07-12","1,724","6,958","2.86","0","728","169","24","8","636"
"2016-07-13","1,977","12,815","5.28","0","710","142","50","37","909"
"2016-07-14","1,711","6,440","2.6","0","858","202","0","0","615"
"2016-07-15","1,475","10,389","4.31","0","959","24","0","30","257"
"2016-07-16","2,138","15,033","6.17","0","694","188","32","77","1,131"
"2016-07-17","1,667","6,084","2.5","0","727","148","9","17","554"
"2016-07-18","2,019","13,974","5.74","0","659","86","72","71","955"
"2016-07-19","1,967","12,441","5.11","0","656","143","58","37","910"
"2016-07-20","2,155","15,888","6.65","0","1,136","189","61","54","1,148"
"2016-07-21","2,041","13,043","5.36","0","702","184","46","56","1,027"
"2016-07-22","1,829","9,555","3.92","0","725","127","27","44","732"
"2016-07-23","1,894","10,670","4.38","0","722","136","45","46","829"
"2016-07-24","2,297","19,040","7.82","0","584","162","61","97","1,313"
"2016-07-25","1,886","9,548","3.92","0","670","194","48","28","859"
"2016-07-26","2,355","20,029","8.24","0","707","130","110","93","1,375"
"2016-07-27","1,920","11,061","4.54","0","641","185","25","32","865"
"2016-07-28","2,079","12,862","5.28","0","695","254","43","35","1,103"
"2016-07-29","2,148","15,473","6.4","0","704","195","47","53","1,137"
"2016-07-30","1,796","7,739","3.18","0","770","209","8","20","735"
"2016-07-31","1,933","11,511","4.73","0","703","149","31","51","869"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-07-01","488","25","2","531"
"2016-07-02","0","0","0","0"
"2016-07-03","522","53","1","576"
"2016-07-04","481","18","1","500"
"2016-07-05","501","31","4","532"
"2016-07-06","429","11","2","456"
"2016-07-07","465","25","2","490"
"2016-07-08","372","23","1","396"
"2016-07-09","0","0","0","0"
"2016-07-10","427","19","0","447"
"2016-07-11","395","8","1","403"
"2016-07-12","491","26","1","518"
"2016-07-13","472","29","2","501"
"2016-07-14","372","8","0","380"
"2016-07-15","388","7","1","395"
"2016-07-16","456","25","2","481"
"2016-07-17","506","14","1","525"
"2016-07-18","548","18","2","566"
"2016-07-19","523","23","2","546"
"2016-07-20","0","0","0","0"
"2016-07-21","439","7","3","452"
"2016-07-22","493","24","1","517"
"2016-07-23","463","27","4","491"
"2016-07-24","518","18","1","536"
"2016-07-25","472","28","1","500"
"2016-07-26","384","16","1","400"
"2016-07-27","542","15","1","557"
"2016-07-28","395","11","1","406"
"2016-07-29","429","19","1","448"
"2016-07-30","418","14","1","433"
"2016-07-31","438","23","1","461"

