Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-06-01","1,903","10,740","4.5","0","686","167","35","26","834"
"2016-06-02","2,061","13,081","5.38","0","653","193","37","62","1,047"
"2016-06-03","1,933","11,100","4.56","0","705","167","42","40","883"
"2016-06-04","2,037","13,176","5.58","0","557","140","28","73","974"
"2016-06-05","1,342","673","0.28","0","948","45","0","0","112"
"2016-06-06","2,090","10,298","4.23","0","675","144","32","52","1,021"
"2016-06-07","1,894","10,881","4.47","0","1,226","136","38","40","807"
"2016-06-08","2,073","12,231","5.5","0","692","216","30","45","1,059"
"2016-06-09","1,959","11,218","4.62","0","706","227","6","25","912"
"2016-06-10","1,773","7,502","3.1","0","695","213","6","4","691"
"2016-06-11","1,698","7,372","3.05","0","1,252","180","6","2","595"
"2016-06-12","2,018","13,443","5.52","0","1,200","144","34","62","954"
"2016-06-13","1,580","4,989","2.05","0","1,174","116","7","0","406"
"2016-06-14","1,819","9,560","3.93","0","1,222","113","18","45","690"
"2016-06-15","2,416","21,011","8.66","0","551","159","43","135","1,442"
"2016-06-16","2,096","14,251","5.85","0","1,117","194","63","43","1,088"
"2016-06-17","2,195","16,741","6.88","0","619","159","77","69","1,194"
"2016-06-18","1,690","6,569","2.7","0","670","147","10","10","566"
"2016-06-19","2,078","8,530","3.5","0","728","155","8","29","648"
"2016-06-20","2,026","12,909","5.31","0","731","178","57","39","998"
"2016-06-21","1,809","7,791","3.2","0","1,202","224","5","9","746"
"2016-06-22","2,177","13,916","5.72","0","701","164","38","87","1,162"
"2016-06-23","2,057","13,812","5.67","0","1,168","193","42","37","1,025"
"2016-06-24","2,069","13,782","5.69","0","670","181","81","29","1,054"
"2016-06-25","1,542","4,376","1.8","0","874","71","6","24","361"
"2016-06-26","1,766","8,578","3.52","0","1,261","98","44","37","654"
"2016-06-27","2,067","14,033","5.76","0","1,168","163","41","68","1,033"
"2016-06-28","1,693","6,888","2.83","0","822","136","15","19","577"
"2016-06-29","2,111","15,310","6.51","0","679","106","47","86","1,053"
"2016-06-30","1,984","12,382","5.22","0","701","130","48","60","925"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-06-01","531","16","3","547"
"2016-06-02","467","28","1","495"
"2016-06-03","455","16","1","472"
"2016-06-04","624","31","1","656"
"2016-06-05","423","24","0","447"
"2016-06-06","499","20","4","537"
"2016-06-07","0","0","0","0"
"2016-06-08","446","11","1","457"
"2016-06-09","461","15","1","476"
"2016-06-10","497","25","2","522"
"2016-06-11","0","0","0","0"
"2016-06-12","0","0","0","0"
"2016-06-13","137","6","1","143"
"2016-06-14","0","0","0","0"
"2016-06-15","547","40","4","594"
"2016-06-16","0","0","0","0"
"2016-06-17","515","17","1","539"
"2016-06-18","454","36","4","490"
"2016-06-19","493","4","1","497"
"2016-06-20","531","36","3","571"
"2016-06-21","0","0","0","0"
"2016-06-22","428","21","2","450"
"2016-06-23","0","0","0","0"
"2016-06-24","434","16","1","450"
"2016-06-25","464","29","3","494"
"2016-06-26","0","0","0","0"
"2016-06-27","0","0","0","0"
"2016-06-28","404","16","1","421"
"2016-06-29","477","16","1","493"
"2016-06-30","492","26","3","525"

