Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-03-01","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-02","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-03","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-04","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-05","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-06","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-07","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-08","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-09","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-10","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-11","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-12","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-13","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-14","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-15","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-16","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-17","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-18","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-19","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-20","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-21","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-22","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-23","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-24","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-25","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-26","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-27","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-28","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-29","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-30","1,292","0","0","0","1,440","0","0","0","0"
"2016-03-31","1,292","0","0","0","1,440","0","0","0","0"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-03-01","0","0","0","0"
"2016-03-02","0","0","0","0"
"2016-03-03","0","0","0","0"
"2016-03-04","0","0","0","0"
"2016-03-05","0","0","0","0"
"2016-03-06","0","0","0","0"
"2016-03-07","0","0","0","0"
"2016-03-08","0","0","0","0"
"2016-03-09","0","0","0","0"
"2016-03-10","0","0","0","0"
"2016-03-11","0","0","0","0"
"2016-03-12","0","0","0","0"
"2016-03-13","0","0","0","0"
"2016-03-14","0","0","0","0"
"2016-03-15","0","0","0","0"
"2016-03-16","0","0","0","0"
"2016-03-17","0","0","0","0"
"2016-03-18","0","0","0","0"
"2016-03-19","0","0","0","0"
"2016-03-20","0","0","0","0"
"2016-03-21","0","0","0","0"
"2016-03-22","0","0","0","0"
"2016-03-23","0","0","0","0"
"2016-03-24","0","0","0","0"
"2016-03-25","0","0","0","0"
"2016-03-26","0","0","0","0"
"2016-03-27","0","0","0","0"
"2016-03-28","0","0","0","0"
"2016-03-29","0","0","0","0"
"2016-03-30","0","0","0","0"
"2016-03-31","0","0","0","0"

