Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-05-01","1,292","0","0","0","1,440","0","0","0","0"
"2016-05-02","1,292","0","0","0","1,440","0","0","0","0"
"2016-05-03","1,292","0","0","0","1,440","0","0","0","0"
"2016-05-04","1,292","0","0","0","1,440","0","0","0","0"
"2016-05-05","1,292","0","0","0","1,440","0","0","0","0"
"2016-05-06","1,292","0","0","0","1,440","0","0","0","0"
"2016-05-07","1,736","11,615","4.77","0","1,150","265","7","18","707"
"2016-05-08","2,200","16,380","6.73","0","743","135","53","93","1,165"
"2016-05-09","2,046","13,239","6.03","0","725","147","19","64","973"
"2016-05-10","1,889","10,217","4.21","0","761","156","27","38","806"
"2016-05-11","2,247","17,139","7.15","0","703","159","39","99","1,236"
"2016-05-12","1,962","10,712","4.41","0","673","230","23","31","938"
"2016-05-13","1,992","11,269","4.63","0","800","210","33","42","960"
"2016-05-14","2,444","21,173","8.7","0","644","162","58","135","1,485"
"2016-05-15","1,824","8,443","3.48","0","732","180","11","31","749"
"2016-05-16","2,308","18,572","8.15","0","692","178","34","89","1,302"
"2016-05-17","2,082","13,626","6.07","0","1,195","158","32","55","1,022"
"2016-05-18","1,997","12,062","5.03","0","1,159","194","13","53","952"
"2016-05-19","2,204","14,276","6.44","0","674","245","13","47","1,202"
"2016-05-20","1,784","8,587","3.56","0","771","150","8","29","678"
"2016-05-21","1,977","11,775","4.84","0","635","162","27","58","923"
"2016-05-22","1,886","10,468","4.3","0","708","152","12","43","794"
"2016-05-23","2,051","13,888","5.78","0","694","125","35","77","986"
"2016-05-24","2,194","16,770","6.89","0","1,163","185","26","66","1,160"
"2016-05-25","2,147","15,249","6.65","0","1,194","125","38","83","1,081"
"2016-05-26","2,025","12,938","5.3","0","659","179","21","58","975"
"2016-05-27","1,844","9,108","3.75","0","697","187","11","22","764"
"2016-05-28","1,756","7,599","3.12","0","531","160","13","21","650"
"2016-05-29","2,394","17,635","7.24","0","607","218","39","111","1,449"
"2016-05-30","2,074","13,597","5.58","0","657","195","22","67","1,047"
"2016-05-31","1,512","4,331","1.78","0","1,345","33","13","28","305"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-05-01","0","0","0","0"
"2016-05-02","0","0","0","0"
"2016-05-03","0","0","0","0"
"2016-05-04","0","0","0","0"
"2016-05-05","0","0","0","0"
"2016-05-06","0","0","0","0"
"2016-05-07","0","0","0","0"
"2016-05-08","406","10","1","416"
"2016-05-09","460","25","3","485"
"2016-05-10","434","24","4","458"
"2016-05-11","412","28","2","440"
"2016-05-12","468","12","1","483"
"2016-05-13","351","4","0","355"
"2016-05-14","429","12","1","441"
"2016-05-15","450","30","2","480"
"2016-05-16","442","9","0","453"
"2016-05-17","0","0","0","0"
"2016-05-18","0","0","0","0"
"2016-05-19","461","21","1","482"
"2016-05-20","471","10","2","482"
"2016-05-21","512","46","3","558"
"2016-05-22","494","30","3","525"
"2016-05-23","485","24","2","509"
"2016-05-24","0","0","0","0"
"2016-05-25","0","0","0","0"
"2016-05-26","506","17","2","523"
"2016-05-27","509","14","2","523"
"2016-05-28","646","69","4","715"
"2016-05-29","449","16","2","465"
"2016-05-30","488","10","0","499"
"2016-05-31","0","0","0","0"

