Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-11-01","1,780","11,163","4.58","0","746","111","4","51","662"
"2016-11-02","1,859","10,157","4.17","0","747","153","23","41","785"
"2016-11-03","1,616","5,973","2.45","0","826","88","4","25","452"
"2016-11-04","1,729","6,737","2.8","0","754","178","8","16","638"
"2016-11-05","2,064","13,861","5.67","0","720","202","15","49","1,022"
"2016-11-06","2,422","19,254","7.93","0","606","227","39","92","1,388"
"2016-11-07","1,552","4,335","1.78","0","790","90","4","23","391"
"2016-11-08","1,881","10,314","4.24","0","779","176","16","35","813"
"2016-11-09","1,877","10,529","4.39","0","777","135","48","31","797"
"2016-11-10","1,781","8,896","3.64","0","828","134","12","30","671"
"2016-11-11","2,215","16,238","6.72","0","644","209","36","74","1,223"
"2016-11-12","1,883","7,859","3.22","0","1,168","251","7","14","803"
"2016-11-13","1,612","5,145","2.13","0","859","151","0","0","471"
"2016-11-14","1,264","0","0","0","1,440","0","0","0","0"
"2016-11-15","1,407","2,685","1.17","0","1,440","0","0","0","0"
"2016-11-16","1,266","14","0.01","0","1,440","0","0","0","0"
"2016-11-17","1,266","10","0","0","1,439","1","0","0","2"
"2016-11-18","1,264","0","0","0","1,440","0","0","0","0"
"2016-11-19","1,264","0","0","0","1,440","0","0","0","0"
"2016-11-20","1,264","0","0","0","1,440","0","0","0","0"
"2016-11-21","1,893","12,746","5.23","0","1,209","139","26","54","821"
"2016-11-22","1,939","12,099","5.02","0","669","121","47","42","859"
"2016-11-23","1,863","10,099","4.14","0","723","129","23","54","780"
"2016-11-24","1,658","5,072","2.09","0","699","186","4","10","569"
"2016-11-25","1,763","7,664","3.15","0","695","167","5","27","672"
"2016-11-26","1,882","10,319","4.24","0","798","173","21","36","819"
"2016-11-27","1,626","6,018","2.47","0","797","92","10","29","477"
"2016-11-28","2,020","13,134","5.39","0","730","196","13","42","976"
"2016-11-29","1,741","7,724","3.17","0","1,258","129","13","40","635"
"2016-11-30","1,952","11,891","4.88","0","629","161","61","35","914"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-11-01","511","17","1","528"
"2016-11-02","455","21","0","476"
"2016-11-03","491","6","0","497"
"2016-11-04","469","14","0","484"
"2016-11-05","447","7","0","454"
"2016-11-06","461","5","1","466"
"2016-11-07","518","25","2","543"
"2016-11-08","412","22","1","434"
"2016-11-09","438","11","1","449"
"2016-11-10","419","17","2","436"
"2016-11-11","466","11","0","477"
"2016-11-12","0","0","0","0"
"2016-11-13","418","12","1","430"
"2016-11-14","0","0","0","0"
"2016-11-15","0","0","0","0"
"2016-11-16","0","0","0","0"
"2016-11-17","0","0","0","0"
"2016-11-18","0","0","0","0"
"2016-11-19","0","0","0","0"
"2016-11-20","0","0","0","0"
"2016-11-21","0","0","0","0"
"2016-11-22","512","31","3","543"
"2016-11-23","520","17","2","541"
"2016-11-24","441","27","1","476"
"2016-11-25","573","38","3","611"
"2016-11-26","405","7","1","412"
"2016-11-27","501","11","1","512"
"2016-11-28","447","12","0","459"
"2016-11-29","0","0","0","0"
"2016-11-30","524","30","3","554"

