Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-10-01","2,125","13,884","5.71","0","690","244","10","62","1,135"
"2016-10-02","1,821","8,266","3.4","0","723","233","2","6","766"
"2016-10-03","1,332","1,080","0.44","0","1,417","23","0","0","83"
"2016-10-04","1,264","0","0","0","1,440","0","0","0","0"
"2016-10-05","1,927","11,535","4.75","0","1,211","130","47","52","857"
"2016-10-06","2,112","14,861","6.1","0","652","162","16","90","1,082"
"2016-10-07","1,786","8,955","3.68","0","665","115","17","40","666"
"2016-10-08","1,501","4,009","1.65","0","906","56","17","9","303"
"2016-10-09","1,264","0","0","0","1,440","0","0","0","0"
"2016-10-10","1,690","6,334","2.6","0","1,259","157","3","21","585"
"2016-10-11","1,891","10,944","4.49","0","677","133","24","48","803"
"2016-10-12","1,675","7,594","3.12","0","710","53","38","35","521"
"2016-10-13","1,724","7,149","2.94","0","690","153","9","22","620"
"2016-10-14","2,230","18,197","7.5","0","648","106","81","90","1,209"
"2016-10-15","2,009","12,525","5.16","0","696","195","16","50","970"
"2016-10-16","1,761","7,900","3.24","0","790","152","15","28","665"
"2016-10-17","1,763","8,523","3.5","0","742","127","13","36","652"
"2016-10-18","1,947","11,985","4.92","0","1,221","135","23","61","873"
"2016-10-19","1,933","11,668","4.79","0","679","130","55","51","874"
"2016-10-20","1,856","9,698","3.98","0","723","156","27","39","786"
"2016-10-21","1,826","10,008","4.11","0","862","90","45","50","725"
"2016-10-22","1,844","8,772","3.6","0","716","182","21","36","788"
"2016-10-23","2,169","15,736","6.46","0","664","210","36","60","1,171"
"2016-10-24","1,933","11,327","4.65","0","773","153","46","39","874"
"2016-10-25","2,019","13,593","5.58","0","740","125","37","71","955"
"2016-10-26","1,993","12,630","5.19","0","733","175","26","46","946"
"2016-10-27","1,891","10,772","4.42","0","704","139","21","50","812"
"2016-10-28","1,913","17,229","7.09","0","680","217","15","42","890"
"2016-10-29","2,016","13,437","5.55","0","590","136","58","54","967"
"2016-10-30","1,815","9,540","3.92","0","742","135","19","41","722"
"2016-10-31","2,027","13,593","5.58","0","773","133","62","58","980"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-10-01","410","24","2","434"
"2016-10-02","443","33","2","476"
"2016-10-03","0","0","0","0"
"2016-10-04","0","0","0","0"
"2016-10-05","0","0","0","0"
"2016-10-06","492","28","2","520"
"2016-10-07","550","24","2","574"
"2016-10-08","470","11","1","481"
"2016-10-09","0","0","0","0"
"2016-10-10","0","0","0","0"
"2016-10-11","529","20","2","549"
"2016-10-12","577","21","2","598"
"2016-10-13","529","37","1","566"
"2016-10-14","522","7","0","529"
"2016-10-15","461","14","3","483"
"2016-10-16","444","11","0","455"
"2016-10-17","513","9","0","522"
"2016-10-18","0","0","0","0"
"2016-10-19","515","9","0","525"
"2016-10-20","471","20","1","495"
"2016-10-21","380","13","1","393"
"2016-10-22","471","14","1","485"
"2016-10-23","458","12","1","470"
"2016-10-24","411","17","1","429"
"2016-10-25","378","11","2","426"
"2016-10-26","476","24","3","500"
"2016-10-27","517","9","1","526"
"2016-10-28","470","16","1","486"
"2016-10-29","581","21","1","602"
"2016-10-30","485","18","1","503"
"2016-10-31","391","23","3","414"

