Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2016-09-01","1,653","6,220","2.55","0","824","133","8","17","526"
"2016-09-02","2,145","14,883","6.11","0","695","223","31","65","1,161"
"2016-09-03","1,688","7,188","2.95","0","849","92","25","33","555"
"2016-09-04","1,718","7,770","3.19","0","793","82","19","50","583"
"2016-09-05","1,583","7,980","3.28","0","826","61","0","30","398"
"2016-09-06","1,919","11,511","4.73","0","726","129","50","47","849"
"2016-09-07","1,582","4,826","1.98","0","733","106","14","17","435"
"2016-09-08","2,151","15,909","6.53","0","1,143","171","80","46","1,142"
"2016-09-09","2,179","16,303","6.67","0","631","177","43","81","1,178"
"2016-09-10","1,939","11,360","4.69","0","706","175","43","28","889"
"2016-09-11","1,911","11,042","4.54","0","727","150","11","52","829"
"2016-09-12","1,783","8,362","3.43","0","852","155","17","27","693"
"2016-09-13","2,150","16,082","6.61","0","747","163","46","65","1,125"
"2016-09-14","1,633","5,643","2.32","0","824","118","6","24","493"
"2016-09-15","1,736","7,930","3.26","0","765","110","18","34","606"
"2016-09-16","2,324","19,918","8.29","0","694","112","63","111","1,311"
"2016-09-17","2,030","12,655","5.22","0","696","182","29","67","1,006"
"2016-09-18","1,668","7,078","2.91","0","829","74","15","42","515"
"2016-09-19","1,820","9,399","3.86","0","736","134","16","42","724"
"2016-09-20","2,030","13,739","5.69","0","670","120","44","71","966"
"2016-09-21","1,656","6,148","2.53","0","793","126","12","22","532"
"2016-09-22","1,934","11,763","4.83","0","646","125","30","63","860"
"2016-09-23","1,982","12,543","5.15","0","776","153","16","58","908"
"2016-09-24","1,914","10,628","4.7","0","570","137","13","51","823"
"2016-09-25","1,979","13,036","5.4","0","865","91","29","87","894"
"2016-09-26","1,841","8,762","3.6","0","713","232","2","10","787"
"2016-09-27","1,992","13,142","5.4","0","1,217","101","50","72","909"
"2016-09-28","1,915","11,655","4.81","0","710","100","46","61","832"
"2016-09-29","1,826","9,657","3.97","0","669","132","28","34","732"
"2016-09-30","1,819","9,263","3.86","0","737","146","11","32","721"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2016-09-01","440","14","1","458"
"2016-09-02","410","12","1","426"
"2016-09-03","437","4","0","441"
"2016-09-04","483","13","1","496"
"2016-09-05","503","20","2","523"
"2016-09-06","463","16","1","479"
"2016-09-07","551","28","3","579"
"2016-09-08","0","0","0","0"
"2016-09-09","469","37","3","508"
"2016-09-10","454","34","4","488"
"2016-09-11","466","32","3","500"
"2016-09-12","373","16","2","389"
"2016-09-13","404","15","2","419"
"2016-09-14","454","14","1","468"
"2016-09-15","495","18","2","513"
"2016-09-16","455","5","0","460"
"2016-09-17","461","5","0","466"
"2016-09-18","469","10","1","480"
"2016-09-19","490","22","1","512"
"2016-09-20","521","14","1","535"
"2016-09-21","456","17","1","478"
"2016-09-22","552","24","3","584"
"2016-09-23","410","27","1","437"
"2016-09-24","656","13","1","669"
"2016-09-25","340","28","2","368"
"2016-09-26","423","22","3","483"
"2016-09-27","0","0","0","0"
"2016-09-28","503","20","2","523"
"2016-09-29","513","33","3","546"
"2016-09-30","504","41","3","545"

